"相場シナリオ","ミックス名","ケースキー","配分比率","利益寄与率(%)","取引数","平均トレード利益率(%)","勝率","最大DD(%)","欠損理由","確認メモ"
"2020コロナショック","コアミックス","combo_current__pullback2__margin_le20","0.5","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2020コロナショック","コアミックス","combo_current__ma5__margin_le20","0.25","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2020コロナショック","コアミックス","combo_current__rsi70__margin_le5","0.15","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2020コロナショック","反落2%単独","combo_current__pullback2__margin_le20","1.0","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2020コロナショック","防御型ミックス","combo_current__pullback2__margin_le20","0.4","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2020コロナショック","防御型ミックス","combo_current__rsi70__margin_le5","0.3","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2020コロナショック","防御型ミックス","combo_current__ma5__margin_le20","0.1","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2020コロナショック","強気相場ミックス","combo_current__ma5__margin_le20","0.4","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2020コロナショック","強気相場ミックス","combo_current__pullback2__margin_le20","0.4","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2020コロナショック","強気相場ミックス","combo_current__rsi70__margin_le5","0.1","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2022利上げ下落","コアミックス","combo_current__pullback2__margin_le20","0.5","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2022利上げ下落","コアミックス","combo_current__ma5__margin_le20","0.25","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2022利上げ下落","コアミックス","combo_current__rsi70__margin_le5","0.15","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2022利上げ下落","反落2%単独","combo_current__pullback2__margin_le20","1.0","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2022利上げ下落","防御型ミックス","combo_current__pullback2__margin_le20","0.4","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2022利上げ下落","防御型ミックス","combo_current__rsi70__margin_le5","0.3","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2022利上げ下落","防御型ミックス","combo_current__ma5__margin_le20","0.1","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2022利上げ下落","強気相場ミックス","combo_current__ma5__margin_le20","0.4","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2022利上げ下落","強気相場ミックス","combo_current__pullback2__margin_le20","0.4","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
"2022利上げ下落","強気相場ミックス","combo_current__rsi70__margin_le5","0.1","0.0","0","","","0.0","信用残データがケースに付与されず、require_margin_data=true のため全除外された疑い","DBには当該期間の stock_weekly_margin_interest は存在。読み込みSQLのstatement timeoutが原因候補"
